time	V(ausgang)*I(I1)	V(n004)*I(V2)
6.963132343691725e-003	1.224082e+001	-7.852715e+000
6.969814512044148e-003	1.223414e+001	-7.844079e+000
6.974980090863392e-003	1.222897e+001	-7.837349e+000
6.978077825628648e-003	1.222588e+001	-7.833291e+000
6.979801043290435e-003	1.222415e+001	-7.831027e+000
6.980686648518031e-003	1.222327e+001	-7.829861e+000
6.981078627479098e-003	1.222287e+001	-7.829345e+000
6.981228053091315e-003	1.222273e+001	-7.829148e+000
6.981280011962188e-003	1.222267e+001	-7.829079e+000
6.981316511421420e-003	1.222264e+001	-7.829031e+000
6.981338407967108e-003	1.222262e+001	-7.829003e+000
6.981366423016833e-003	1.222259e+001	-7.828966e+000
6.981382480980125e-003	1.222257e+001	-7.828945e+000
6.981400128524218e-003	1.222255e+001	-7.828921e+000
6.981423320319591e-003	1.222253e+001	-7.828890e+000
6.981447747614111e-003	1.222251e+001	-7.828858e+000
6.981488610362963e-003	1.222246e+001	-7.828804e+000
6.981515220108703e-003	1.222244e+001	-7.828769e+000
6.981541292025995e-003	1.222241e+001	-7.828735e+000
6.981585381063304e-003	1.222237e+001	-7.828677e+000
6.981610305047625e-003	1.222234e+001	-7.828643e+000
6.981636781632217e-003	1.222232e+001	-7.828609e+000
6.981686155907330e-003	1.222227e+001	-7.828543e+000
6.981717130313592e-003	1.222224e+001	-7.828503e+000
6.981748283511169e-003	1.222221e+001	-7.828462e+000
6.981772229730066e-003	1.222218e+001	-7.828430e+000
6.981798078457779e-003	1.222216e+001	-7.828396e+000
6.981829031246112e-003	1.222212e+001	-7.828355e+000
6.981866461485353e-003	1.222209e+001	-7.828306e+000
6.981898101622419e-003	1.222206e+001	-7.828264e+000
6.981934329044370e-003	1.222202e+001	-7.828216e+000
6.981977314327703e-003	1.222198e+001	-7.828160e+000
6.982011644773856e-003	1.222194e+001	-7.828114e+000
6.982049989702532e-003	1.222190e+001	-7.828064e+000
6.982085670606320e-003	1.222187e+001	-7.828016e+000
6.982123777111715e-003	1.222183e+001	-7.827967e+000
6.982197343127550e-003	1.222176e+001	-7.827869e+000
6.982245997968040e-003	1.222171e+001	-7.827805e+000
6.982290186807849e-003	1.222166e+001	-7.827747e+000
6.982331622799820e-003	1.222162e+001	-7.827692e+000
6.982419603553169e-003	1.222153e+001	-7.827575e+000
6.982534735195611e-003	1.222142e+001	-7.827424e+000
6.982658913472384e-003	1.222129e+001	-7.827259e+000
6.982803056900244e-003	1.222115e+001	-7.827070e+000
6.982940063941512e-003	1.222101e+001	-7.826888e+000
6.983015577730178e-003	1.222094e+001	-7.826788e+000
6.983165347101417e-003	1.222079e+001	-7.826591e+000
6.983357033857662e-003	1.222060e+001	-7.826337e+000
6.986543966303620e-003	1.221741e+001	-7.822116e+000
6.989730898749579e-003	1.221422e+001	-7.817878e+000
6.992917831195536e-003	1.221104e+001	-7.813623e+000
6.996104763641494e-003	1.220785e+001	-7.809350e+000
6.999291696087452e-003	1.220466e+001	-7.805061e+000
7.002478628533411e-003	1.220147e+001	-7.800754e+000
7.005665560979368e-003	1.219829e+001	-7.796430e+000
7.008554523432012e-003	1.219540e+001	-7.792496e+000
7.011443485884656e-003	1.219251e+001	-7.788548e+000
7.014332448337300e-003	1.218962e+001	-7.784587e+000
7.017221410789943e-003	1.218673e+001	-7.780611e+000
7.020110373242587e-003	1.218384e+001	-7.776621e+000
7.022999335695231e-003	1.218095e+001	-7.772618e+000
7.025888298147875e-003	1.217807e+001	-7.768600e+000
7.026066890317262e-003	1.217789e+001	-7.768352e+000
7.026172280002352e-003	1.217778e+001	-7.768204e+000
7.026337052746023e-003	1.217762e+001	-7.767975e+000
7.030056117447637e-003	1.217390e+001	-7.762780e+000
7.033775182149252e-003	1.217018e+001	-7.757562e+000
7.037494246850866e-003	1.216646e+001	-7.752320e+000
7.041213311552481e-003	1.216274e+001	-7.747054e+000
7.044932376254095e-003	1.215902e+001	-7.741764e+000
7.048651440955710e-003	1.215530e+001	-7.736450e+000
7.052370505657324e-003	1.215158e+001	-7.731113e+000
7.064078402515439e-003	1.213988e+001	-7.714161e+000
7.077033287323120e-003	1.212692e+001	-7.695143e+000
7.094475265396971e-003	1.210948e+001	-7.669102e+000
7.113241762431888e-003	1.209071e+001	-7.640528e+000
7.137090047055872e-003	1.206686e+001	-7.603384e+000
7.164521054815132e-003	1.203943e+001	-7.559514e+000
7.200210206992130e-003	1.200374e+001	-7.500615e+000
7.244519463381782e-003	1.195943e+001	-7.424624e+000
7.308566830886654e-003	1.189539e+001	-7.309243e+000
7.400869136687249e-003	1.180308e+001	-7.131221e+000
7.578407398937670e-003	1.162555e+001	-6.751251e+000
7.927493949415165e-003	1.127646e+001	-5.894016e+000
8.327493949415121e-003	1.087646e+001	-4.780519e+000
8.727493949415077e-003	1.047646e+001	-3.581313e+000
9.127493949415033e-003	1.007646e+001	-2.365326e+000
9.527493949414989e-003	9.676459e+000	-1.205081e+000
9.927493949414945e-003	9.276460e+000	-1.694648e-001
1.032749394941490e-002	8.876459e+000	6.805368e-001
1.072749394941486e-002	8.476460e+000	1.295607e+000
1.112749394941481e-002	8.076460e+000	1.641134e+000
1.152749394941477e-002	7.676460e+000	1.703524e+000
1.161029204751318e-002	7.593662e+000	1.680277e+000
1.165426038448680e-002	7.549694e+000	1.662408e+000
1.166908846217007e-002	7.534865e+000	1.655580e+000
1.167840731928405e-002	7.525547e+000	1.651076e+000
1.168554528564303e-002	7.518409e+000	1.647514e+000
1.169352077146857e-002	7.510433e+000	1.643417e+000
1.170050870436212e-002	7.503446e+000	1.639721e+000
1.170777715311000e-002	7.496178e+000	1.635759e+000
1.171541659009556e-002	7.488539e+000	1.631450e+000
1.172251480858200e-002	7.481442e+000	1.627282e+000
1.173003594426991e-002	7.473923e+000	1.622639e+000
1.173726411246645e-002	7.466699e+000	1.617868e+000
1.174468422981057e-002	7.459285e+000	1.612499e+000
1.175202450616231e-002	7.451957e+000	1.606457e+000
1.175946909053449e-002	7.444531e+000	1.599137e+000
1.176695221505097e-002	7.437082e+000	1.589818e+000
1.177457809368010e-002	7.429514e+000	1.577038e+000
1.178239180358387e-002	7.421799e+000	1.558446e+000
1.179055223978032e-002	7.413811e+000	1.529772e+000
1.179926671294718e-002	7.405400e+000	1.483532e+000
1.180894075228900e-002	7.396276e+000	1.405472e+000
1.182026770400924e-002	7.385991e+000	1.267185e+000
1.183451539702907e-002	7.373896e+000	1.005467e+000
1.185625402151791e-002	7.357210e+000	4.456515e-001
1.187658583300777e-002	7.343682e+000	-2.292766e-001
1.189863655668411e-002	7.331642e+000	-1.102981e+000
1.192378285632012e-002	7.321369e+000	-2.215743e+000
1.195984753149559e-002	7.312820e+000	-3.928272e+000
1.200928277697155e-002	7.312457e+000	-6.364305e+000
1.208500116105393e-002	7.335408e+000	-1.011011e+001
1.219546112077186e-002	7.414997e+000	-1.535888e+001
1.237697284028383e-002	7.633254e+000	-2.332266e+001
1.258486653226898e-002	7.978317e+000	-3.138519e+001
1.277839446820794e-002	8.375377e+000	-3.746941e+001
1.305199588919004e-002	9.008703e+000	-4.383079e+001
1.336434630092453e-002	9.763404e+000	-4.835495e+001
1.376434630092449e-002	1.070431e+001	-5.036969e+001
1.416434630092445e-002	1.154976e+001	-4.885270e+001
1.456434630092440e-002	1.225304e+001	-4.443164e+001
1.488674771231791e-002	1.267945e+001	-3.922554e+001
1.525789121120169e-002	1.298934e+001	-3.198207e+001
1.565789121120165e-002	1.311696e+001	-2.345925e+001
1.605789121120160e-002	1.304223e+001	-1.498778e+001
1.634341094422065e-002	1.287645e+001	-9.503228e+000
1.642726606492706e-002	1.280667e+001	-8.180479e+000
1.648193282681232e-002	1.275482e+001	-7.536175e+000
1.653575794667406e-002	1.270203e+001	-7.109753e+000
1.660336528260886e-002	1.263488e+001	-6.776857e+000
1.661713168168011e-002	1.262114e+001	-6.735711e+000
1.663520048945799e-002	1.260308e+001	-6.701730e+000
1.665597853888989e-002	1.258231e+001	-6.670014e+000
1.666885344150126e-002	1.256944e+001	-6.653864e+000
1.668407312299181e-002	1.255422e+001	-6.637506e+000
1.669321887758324e-002	1.254507e+001	-6.628575e+000
1.670060788100525e-002	1.253768e+001	-6.621880e+000
1.670547732494521e-002	1.253281e+001	-6.617618e+000
1.670889553758614e-002	1.252939e+001	-6.614737e+000
1.671134604907754e-002	1.252694e+001	-6.612684e+000
1.671319471680011e-002	1.252509e+001	-6.611162e+000
1.671476660501048e-002	1.252352e+001	-6.609889e+000
1.671638859722580e-002	1.252190e+001	-6.608566e+000
1.671788843914657e-002	1.252040e+001	-6.607364e+000
1.672080821940158e-002	1.251748e+001	-6.605034e+000
1.672220466805185e-002	1.251608e+001	-6.603927e+000
1.672361461085592e-002	1.251467e+001	-6.602819e+000
1.672501962112061e-002	1.251327e+001	-6.601720e+000
1.672648744686400e-002	1.251180e+001	-6.600576e+000
1.672801638098986e-002	1.251027e+001	-6.599393e+000
1.672967730053576e-002	1.250861e+001	-6.598112e+000
1.673131386286098e-002	1.250697e+001	-6.596856e+000
1.673303370154000e-002	1.250525e+001	-6.595543e+000
1.673474086544780e-002	1.250355e+001	-6.594246e+000
1.673648227168478e-002	1.250181e+001	-6.592927e+000
1.673822674778669e-002	1.250006e+001	-6.591612e+000
1.673999989930142e-002	1.249829e+001	-6.590282e+000
1.674174811997164e-002	1.249654e+001	-6.588974e+000
1.674351009643915e-002	1.249478e+001	-6.587661e+000
1.674525132322136e-002	1.249304e+001	-6.586368e+000
1.674700909074789e-002	1.249128e+001	-6.585065e+000
1.674874800458381e-002	1.248954e+001	-6.583780e+000
1.675051264871952e-002	1.248777e+001	-6.582479e+000
1.675585366417143e-002	1.248243e+001	-6.578558e+000
1.676152226312067e-002	1.247676e+001	-6.574415e+000
1.676777756524273e-002	1.247051e+001	-6.569859e+000
1.677246414276834e-002	1.246582e+001	-6.566448e+000
1.677767222716287e-002	1.246061e+001	-6.562658e+000
1.678345753736343e-002	1.245483e+001	-6.558440e+000
1.678656851426685e-002	1.245172e+001	-6.556167e+000
1.678979934247304e-002	1.244849e+001	-6.553802e+000
1.679314633486739e-002	1.244514e+001	-6.551345e+000
1.679657203510543e-002	1.244171e+001	-6.548824e+000
1.680005329814860e-002	1.243823e+001	-6.546254e+000
1.680354801183148e-002	1.243474e+001	-6.543664e+000
1.680702717267468e-002	1.243126e+001	-6.541077e+000
1.681044473092141e-002	1.242784e+001	-6.538524e+000
1.681378570474612e-002	1.242450e+001	-6.536018e+000
1.681700051909640e-002	1.242129e+001	-6.533596e+000
1.682010335530093e-002	1.241818e+001	-6.531249e+000
1.682586585923140e-002	1.241242e+001	-6.526863e+000
1.683108680340328e-002	1.240720e+001	-6.522856e+000
1.683589942386077e-002	1.240239e+001	-6.519135e+000
1.684055567831821e-002	1.239773e+001	-6.515507e+000
1.684548048560652e-002	1.239281e+001	-6.511640e+000
1.684826749749047e-002	1.239002e+001	-6.509437e+000
1.685149026291688e-002	1.238680e+001	-6.506877e+000
1.685544999371946e-002	1.238284e+001	-6.503713e+000
1.686054845546137e-002	1.237774e+001	-6.499605e+000
1.686801443731545e-002	1.237027e+001	-6.493524e+000
1.687780755257318e-002	1.236048e+001	-6.485427e+000
1.688952730001780e-002	1.234876e+001	-6.475554e+000
1.690315353143024e-002	1.233513e+001	-6.463832e+000
1.691290441043503e-002	1.232538e+001	-6.455270e+000
1.692598360705033e-002	1.231230e+001	-6.443560e+000
1.693460004409930e-002	1.230369e+001	-6.435705e+000
1.694493473801373e-002	1.229335e+001	-6.426130e+000
1.695280279402722e-002	1.228548e+001	-6.418731e+000
1.696144058949811e-002	1.227684e+001	-6.410490e+000
1.697347048012576e-002	1.226482e+001	-6.398828e+000
1.698301695866988e-002	1.225527e+001	-6.389424e+000
1.698953537732673e-002	1.224875e+001	-6.382925e+000
1.699253625732955e-002	1.224575e+001	-6.379910e+000
1.699365771922035e-002	1.224463e+001	-6.378780e+000
1.699391389697724e-002	1.224437e+001	-6.378519e+000
1.699398692464915e-002	1.224430e+001	-6.378447e+000
1.699400533831175e-002	1.224428e+001	-6.378430e+000
1.699402491674418e-002	1.224426e+001	-6.378411e+000
1.699403785092979e-002	1.224425e+001	-6.378398e+000
1.699404692419582e-002	1.224424e+001	-6.378389e+000
1.699405481994398e-002	1.224423e+001	-6.378381e+000
1.699406142357152e-002	1.224422e+001	-6.378374e+000
1.699406730639586e-002	1.224422e+001	-6.378367e+000
1.699407306170409e-002	1.224421e+001	-6.378361e+000
1.699408054563445e-002	1.224420e+001	-6.378352e+000
1.699409109841921e-002	1.224419e+001	-6.378341e+000
1.699410260113388e-002	1.224418e+001	-6.378329e+000
1.699410920935740e-002	1.224418e+001	-6.378321e+000
1.699411556051922e-002	1.224417e+001	-6.378315e+000
1.699412157939728e-002	1.224416e+001	-6.378309e+000
