v1	Ic(Q1)
Step Information: I1=50µ  (Run: 1/7)
5.699999999999994e+000	4.643670e-002
5.799999999999994e+000	4.650670e-002
5.899999999999993e+000	4.657670e-002
6.000000000000000e+000	4.664670e-002
Step Information: I1=250µ  (Run: 5/7)
4.000000000000000e+000	5.397199e-002
4.100000000000000e+000	5.405552e-002
4.199999999999999e+000	5.413904e-002
4.299999999999999e+000	5.422256e-002
4.399999999999999e+000	5.430608e-002
4.499999999999998e+000	5.438960e-002
4.599999999999998e+000	5.447312e-002
4.699999999999998e+000	5.455664e-002
4.799999999999997e+000	5.464016e-002
4.899999999999997e+000	5.472368e-002
4.999999999999996e+000	5.480720e-002
5.099999999999996e+000	5.489073e-002
5.199999999999996e+000	5.497425e-002
5.299999999999995e+000	5.505777e-002
5.399999999999995e+000	5.514129e-002
5.499999999999995e+000	5.522481e-002
5.599999999999994e+000	5.530833e-002
5.699999999999994e+000	5.539185e-002
5.799999999999994e+000	5.547537e-002
5.899999999999993e+000	5.555889e-002
6.000000000000000e+000	5.564241e-002
Step Information: I1=300µ  (Run: 6/7)
4.000000000000000e+000	6.211313e-002
4.100000000000000e+000	6.220927e-002
4.199999999999999e+000	6.230541e-002
4.299999999999999e+000	6.240156e-002
4.399999999999999e+000	6.249770e-002
4.499999999999998e+000	6.259385e-002
4.599999999999998e+000	6.268999e-002
4.699999999999998e+000	6.278613e-002
4.799999999999997e+000	6.288227e-002
4.899999999999997e+000	6.297842e-002
4.999999999999996e+000	6.307457e-002
5.099999999999996e+000	6.317071e-002
5.199999999999996e+000	6.326685e-002
5.299999999999995e+000	6.336299e-002
5.399999999999995e+000	6.345914e-002
5.499999999999995e+000	6.355528e-002
5.599999999999994e+000	6.365143e-002
5.699999999999994e+000	6.374757e-002
5.799999999999994e+000	6.384371e-002
5.899999999999993e+000	6.393985e-002
6.000000000000000e+000	6.403600e-002
Step Information: I1=350µ  (Run: 7/7)
4.000000000000000e+000	6.977316e-002
4.100000000000000e+000	6.988118e-002
4.199999999999999e+000	6.998920e-002
4.299999999999999e+000	7.009723e-002
4.399999999999999e+000	7.020525e-002
4.499999999999998e+000	7.031327e-002
4.599999999999998e+000	7.042130e-002
4.699999999999998e+000	7.052932e-002
4.799999999999997e+000	7.063735e-002
4.899999999999997e+000	7.074537e-002
4.999999999999996e+000	7.085339e-002
5.099999999999996e+000	7.096142e-002
5.199999999999996e+000	7.106944e-002
5.299999999999995e+000	7.117746e-002
5.399999999999995e+000	7.128549e-002
5.499999999999995e+000	7.139351e-002
5.599999999999994e+000	7.150153e-002
5.699999999999994e+000	7.160956e-002
5.799999999999994e+000	7.171758e-002
5.899999999999993e+000	7.182560e-002
6.000000000000000e+000	7.193363e-002
