i1	Ic(Q1)
2.117890000000005e-004	4.809622e-002
2.127880000000005e-004	4.827656e-002
2.137870000000006e-004	4.845662e-002
2.147860000000006e-004	4.863641e-002
2.157850000000006e-004	4.881592e-002
2.167840000000006e-004	4.899516e-002
2.177830000000006e-004	4.917413e-002
2.187820000000006e-004	4.935283e-002
2.197810000000006e-004	4.953126e-002
2.207800000000006e-004	4.970942e-002
2.217790000000006e-004	4.988731e-002
2.227780000000006e-004	5.006494e-002
2.237770000000006e-004	5.024231e-002
2.247760000000006e-004	5.041941e-002
2.257750000000007e-004	5.059625e-002
2.267740000000007e-004	5.077283e-002
2.277730000000007e-004	5.094915e-002
2.287720000000007e-004	5.112521e-002
2.297710000000007e-004	5.130101e-002
2.307700000000007e-004	5.147656e-002
2.317690000000007e-004	5.165185e-002
2.327680000000007e-004	5.182688e-002
2.337670000000007e-004	5.200167e-002
2.347660000000007e-004	5.217620e-002
2.357650000000007e-004	5.235048e-002
2.367640000000007e-004	5.252451e-002
2.377630000000008e-004	5.269829e-002
2.387620000000008e-004	5.287183e-002
2.397610000000008e-004	5.304512e-002
2.407600000000008e-004	5.321816e-002
2.417590000000008e-004	5.339095e-002
2.427580000000008e-004	5.356351e-002
2.437570000000008e-004	5.373582e-002
2.447560000000008e-004	5.390789e-002
2.457550000000008e-004	5.407972e-002
2.467540000000008e-004	5.425131e-002
2.477530000000008e-004	5.442266e-002
2.487520000000009e-004	5.459377e-002
2.497510000000009e-004	5.476465e-002
2.507500000000009e-004	5.493529e-002
2.517490000000009e-004	5.510570e-002
2.527480000000009e-004	5.527587e-002
2.537470000000009e-004	5.544581e-002
2.547460000000009e-004	5.561552e-002
2.557450000000009e-004	5.578500e-002
2.567440000000009e-004	5.595424e-002
2.577430000000009e-004	5.612326e-002
2.587420000000009e-004	5.629205e-002
2.597410000000009e-004	5.646062e-002
2.607400000000010e-004	5.662895e-002
2.617390000000010e-004	5.679706e-002
2.627380000000010e-004	5.696495e-002
2.637370000000010e-004	5.713262e-002
2.647360000000010e-004	5.730006e-002
2.657350000000010e-004	5.746727e-002
2.667340000000010e-004	5.763427e-002
2.677330000000010e-004	5.780105e-002
2.687320000000010e-004	5.796761e-002
2.697310000000010e-004	5.813395e-002
2.707300000000010e-004	5.830007e-002
2.717290000000010e-004	5.846598e-002
2.727280000000011e-004	5.863167e-002
2.737270000000011e-004	5.879715e-002
2.747260000000011e-004	5.896241e-002
2.757250000000011e-004	5.912746e-002
2.767240000000011e-004	5.929229e-002
2.777230000000011e-004	5.945691e-002
2.787220000000011e-004	5.962133e-002
2.797210000000011e-004	5.978553e-002
2.807200000000011e-004	5.994952e-002
2.817190000000011e-004	6.011331e-002
2.827180000000011e-004	6.027689e-002
2.837170000000012e-004	6.044026e-002
2.847160000000012e-004	6.060342e-002
2.857150000000012e-004	6.076638e-002
2.867140000000012e-004	6.092914e-002
2.877130000000012e-004	6.109169e-002
2.887120000000012e-004	6.125404e-002
2.897110000000012e-004	6.141618e-002
2.907100000000012e-004	6.157812e-002
2.917090000000012e-004	6.173987e-002
2.927080000000012e-004	6.190141e-002
2.937070000000012e-004	6.206275e-002
2.947060000000012e-004	6.222390e-002
2.957050000000013e-004	6.238484e-002
2.967040000000013e-004	6.254559e-002
2.977030000000013e-004	6.270614e-002
2.987020000000013e-004	6.286650e-002
2.997010000000013e-004	6.302667e-002
3.007000000000013e-004	6.318663e-002
3.016990000000013e-004	6.334641e-002
3.026980000000013e-004	6.350598e-002
3.036970000000013e-004	6.366538e-002
3.046960000000013e-004	6.382457e-002
3.056950000000013e-004	6.398358e-002
3.066940000000013e-004	6.414240e-002
3.076930000000014e-004	6.430102e-002
3.086920000000014e-004	6.445947e-002
3.096910000000014e-004	6.461771e-002
3.106900000000014e-004	6.477577e-002
3.116890000000014e-004	6.493365e-002
3.126880000000014e-004	6.509134e-002
3.136870000000014e-004	6.524884e-002
3.146860000000014e-004	6.540616e-002
3.156850000000014e-004	6.556330e-002
3.166840000000014e-004	6.572025e-002
3.176830000000014e-004	6.587701e-002
3.186820000000015e-004	6.603360e-002
3.196810000000015e-004	6.619000e-002
3.206800000000015e-004	6.634623e-002
3.216790000000015e-004	6.650227e-002
3.226780000000015e-004	6.665813e-002
3.236770000000015e-004	6.681381e-002
3.246760000000015e-004	6.696932e-002
3.256750000000015e-004	6.712464e-002
3.266740000000015e-004	6.727979e-002
3.276730000000015e-004	6.743477e-002
3.286720000000015e-004	6.758956e-002
3.296710000000015e-004	6.774418e-002
3.306700000000016e-004	6.789863e-002
3.316690000000016e-004	6.805290e-002
3.326680000000016e-004	6.820700e-002
3.336670000000016e-004	6.836092e-002
3.346660000000016e-004	6.851467e-002
3.356650000000016e-004	6.866825e-002
3.366640000000016e-004	6.882166e-002
3.376630000000016e-004	6.897490e-002
3.386620000000016e-004	6.912796e-002
3.396610000000016e-004	6.928086e-002
3.406600000000016e-004	6.943358e-002
3.416590000000016e-004	6.958614e-002
3.426580000000017e-004	6.973853e-002
3.436570000000017e-004	6.989075e-002
3.446560000000017e-004	7.004281e-002
3.456550000000017e-004	7.019470e-002
3.466540000000017e-004	7.034642e-002
3.476530000000017e-004	7.049798e-002
3.486520000000017e-004	7.064937e-002
3.496510000000017e-004	7.080060e-002
3.506500000000017e-004	7.095166e-002
3.516490000000017e-004	7.110257e-002
3.526480000000017e-004	7.125331e-002
3.536470000000018e-004	7.140388e-002
3.546460000000018e-004	7.155430e-002
3.556450000000018e-004	7.170454e-002
3.566440000000018e-004	7.185464e-002
3.576430000000018e-004	7.200457e-002
3.586420000000018e-004	7.215434e-002
3.596410000000018e-004	7.230396e-002
3.606400000000018e-004	7.245341e-002
3.616390000000018e-004	7.260270e-002
3.626380000000018e-004	7.275184e-002
3.636370000000018e-004	7.290082e-002
3.646360000000018e-004	7.304965e-002
3.656350000000019e-004	7.319832e-002
3.666340000000019e-004	7.334683e-002
3.676330000000019e-004	7.349519e-002
3.686320000000019e-004	7.364339e-002
3.696310000000019e-004	7.379144e-002
3.706300000000019e-004	7.393933e-002
3.716290000000019e-004	7.408708e-002
3.726280000000019e-004	7.423466e-002
3.736270000000019e-004	7.438210e-002
3.746260000000019e-004	7.452938e-002
3.756250000000019e-004	7.467651e-002
3.766240000000019e-004	7.482350e-002
3.776230000000020e-004	7.497033e-002
3.786220000000020e-004	7.511701e-002
3.796210000000020e-004	7.526354e-002
3.806200000000020e-004	7.540992e-002
3.816190000000020e-004	7.555615e-002
3.826180000000020e-004	7.570224e-002
3.836170000000020e-004	7.584818e-002
3.846160000000020e-004	7.599397e-002
3.856150000000020e-004	7.613961e-002
3.866140000000020e-004	7.628511e-002
3.876130000000020e-004	7.643045e-002
3.886120000000021e-004	7.657566e-002
3.896110000000021e-004	7.672072e-002
3.906100000000021e-004	7.686564e-002
3.916090000000021e-004	7.701041e-002
3.926080000000021e-004	7.715503e-002
3.936070000000021e-004	7.729951e-002
3.946060000000021e-004	7.744385e-002
3.956050000000021e-004	7.758805e-002
3.966040000000021e-004	7.773211e-002
3.976030000000021e-004	7.787602e-002
3.986020000000021e-004	7.801979e-002
3.996010000000021e-004	7.816342e-002
4.006000000000022e-004	7.830691e-002
4.015990000000022e-004	7.845026e-002
4.025980000000022e-004	7.859347e-002
4.035970000000022e-004	7.873654e-002
4.045960000000022e-004	7.887948e-002
4.055950000000022e-004	7.902227e-002
4.065940000000022e-004	7.916492e-002
4.075930000000022e-004	7.930744e-002
4.085920000000022e-004	7.944982e-002
